organization,url,size,country,description,url2,category,source,url_https,url_source
Ninus Design & Technology S.A.S,ninus.co/Vidabot/,1-10,Colombia,Bot que contiene la información de la OMS y responde a cualquier pregunta con respecto al corona virus,,Prediction and prevention,,,
World Tech Inc,www.worldtechmakers.com/,11-50,Colombia,"Tenemos dos soluciones durante esta crisis. 

La primera es educación STEAM para niños, niñas, adolescentes y docentes: http://www.makerkits.io/ - lanzamos la versión inicial el otro fin de semana (Marzo 27 - 29). Pueden verla acá: https://hb-webapp-staging.herokuapp.com/ - esta solución viene con un kit físico, con acceso a 360 videos en línea y para acceso al software tanto de docentes como de estudiantes. 

La segunda es un marketplace que apalanca inteligencia artificial y nuestra tecnología ADN digital: https://www.bootcamps.online/ - esta plataforma sale en 3 semanas y está para que personas jóvenes o adultas ofrezcan y creen: mentorías 1-1 y bootcamps en línea. Pueden ver la versión que estamos completando acá: https://bo-webapp-development.herokuapp.com/ - esta solución viene con pagos integrados y permite que creadores de contenidos mapeen las habilidades más relevantes del mercado o requeridas por estudiantes. Esto se hace a través del sistema ADN digital.",,Remote education,,,
La Rula,Www.larulataller.com,1-10,Colombia,Digitalización de contenido educativo ,,Remote education,,,
Edentiav,edentiav.com/vrsalud,1-10,Colombia,"Realidad virtual y ciencia de datos para salud mental
Desarrollo de habilidades con realidad virtual para diferentes trastornos neurológicos",,Social topics and mental health,,,
PRODUCTIVIDAPP,www.productividapp.com/,11-50,Colombia,"ProductividApp se suma a ser parte de la solución a la situación sanitaria a nivel mundial, por esto hemos lanzado la campaña “Porque acompañar a tus colaboradores es…” a través de la cual hemos dispuesto nuestra plataforma para que todas las empresas de manera gratuita puedan inscribir y darle acceso a todos sus colaboradores a través nuestra aplicación móvil y de esta forma realizar un acompañamiento permanente a cada uno de ellos, mediante una sencilla autoevaluación a través formulario inteligente que le permite a las empresas conocer el estado de salud de sus colaboradores en tiempo real y así poder tomar acciones preventivas de manera más eficiente.",,Big data and analytics,,,
EDUCATION SOUL,www.edusoul.com.co,1-10,Colombia,Facilitamos el acceso a programas remotos en matemáticas a través de la plataforma Dinamo Numeros y sensibilización en el uso de la programación en un ambiente de ABP a través de la metodología Mehackit,,Remote education,,,
Innovahub,innovahub.org/home/,11-50,Colombia,Somos una empresa 100% virtual dedicada a desarrollar procesos de capacitación virtual a la medida de las empresas u organizaciones,,Remote education,,,
Didacta Group S.A.S.,www.intrena.co,1-10,Colombia,"Contamos con una herramienta para capacitaciones virtuales por medio del celular, utilizando la gamificación y las técnicas modernas de aprendizaje. Además, puede ser utilizada como medio para compartir información y validar la efectividad de la misma. Permite realizar test en línea, a través de diferentes tipos de pantalla, y además, los usuarios van a acumulando puntos y contamos con tabla de posiciones para verificar el rendimiento de cada persona.

A modo de tweet, somos un duolingo para capacitaciones de todo tipo, y para poder entrenar a la población para diversos temas.",,Other,,,
ACCESSWEB S.A.S,www.wifiboss.com.co,1-10,Colombia,"WifiBoss es una aplicación donde los usuarios comparten su wifi y por medio de compartir se pueden conectar a cualquier otro wifi compartido por otro usuario en cualquier ciudad o país automáticamente, sin que el usuario pueda ver su cantraeña, esto ayuda a que los usuarios que no tienen Internet wifi para compartir puedan acceder a esas redes compartidas por los usuarios en estos tiempos de crisis y cuarentena. ",crushmeeting.com/,Digital management platforms,,,
Wiqonn Technologies,www.wiqonn.com/,11-50,Colombia,"Wiqonn Tech es una startup con experiencia en Inteligencia Artificial y Visión Computador, y podemos apoyar en el análisis de datos en incluso en telemedicina con diagnósticos de neumonía usando imágenes de CT y redes neuronales. También, estamos en la capacidad de hacer modelos de predicción utilizando información que nos permita tener un mejor entendimiento de la enfermedad con base a: Movilizaciones demográficas, hábito de las personas, alimentación, enfermedades preexistentes y demás datos adicionales",,Big data and analytics,,,
Aflore,www.aflore.co,51-100,Colombia,"App con más de 20,000 “consejeros financieros informales” que pueden ofrecer remotamente servicios financieros y educación financiera a sus Redes de confianza.  ",,Other,,,
Xennial Digital,www.xennialdigital.com/espanol/,11-50,Colombia,Plataforma de educación con laboratorios de ciencias en Realidad Virtual ,,Remote education,,,
Pediahome ,www.tupediahome.com,1-10,Colombia,"Pediahome es la primera y más grande plataforma electrónica Colombiana que pone en contacto a Medicos especialistas con pacientes para la atención de éstos últimos en su domicilio o donde estos lo deseen, también prestamos servicios de videoasistencia con médicos especialistas para las zonas donde no tenemos cobertura y mediante alianzas estratégicas, brindamos servicios de vacunacion, toma de muestras de laboratorio clínico, terapias respiratorias y de cualquier tipo, optometria, asistencia de enfermería, todo en la comodidad y seguridad de tu hogar. ",,Digital management platforms,,,
Tool-be,www.tool-be.com,11-50,Colombia,"Ayudamos a padres y adultos cuidadores de niños en primeros 1.000 días de vida, a que cumplan de forma sobresaliente, con su rol como los PRIMEROS y MEJORES educadores de la vida, para los niños bajo su responsabilidad.",,Behavioral change,,,
mipaquete.com,mipaquete.com/,1-10,Colombia,"Somos una startup que conecta a través de la tecnología a las empresas que venden productos y a los e-commerce con las transportadoras urbanas y nacionales para hacer llegar sus productos al mercado. La plataforma integra más de 10 transportadoras para gestionar de forma fácil y sin salir de casa los envíos. Las transportadoras recogen directamente a domicilio y con nuestra tecnología les brindamos trazabilidad de sus entregas, indiferente del número de transportadoras utilizadas.

Prevenimos el contagio: Al tener garantizadas las recogidas de los envíos los clientes no tienen que ir a los puntos de recibo de las transportadoras para despachar. Pueden solicitar sus servicios y la transportadora recoge en el domicilio. Las transportadoras están implementando medidas para tener un mínimo contacto con las personas para así disminuir riesgos de contagio.

Ayudamos a que los comercios puedan mantener sus ventas a pesar de la coyuntura: Les brindamos la solución logística para que a pesar de no recibir clientes en sus tiendas físicas,  puedan seguir vendiendo on line, realizando sus envíos a través de nuestra plataforma que integra a empresas como Coordinadora, TCC, Saferbo, Brasilia, y otras empresas de mensajería urbana. Todos los servicios incluyen la recogida en sus casas o almacenes para evitar que tengan que salir y exponerse a la pandemia.",,Digital management platforms,,,
acreditta,www.acreditta.com/,11-50,Colombia,Insignias y credenciales digitales para verificar logros academicos,,Remote education,,,
Ecoingenios de Colombia S.A.S,www.ecoingenios.com,1-10,Colombia,"En Ecoingenios ayudamos a generar procesos y ambientes seguros, inocuos y ambientalmente amigables mediante soluciones integrales, ofrecemos servicios enfocados a disminuir la diseminación del Covid-19 y reducir los riesgos de contagio, a través del control una las causas más significativas, el contacto con superficies contaminadas.

Sabemos que el Covid-19 es un virus que en su estructura de partícula viral, es muy factible de destruir e inactivar, utilizando medidas de prevención muy básicas, como la higiene, lavado de manos y desinfección. Por lo cual, se deben incrementar las prácticas de higiene con el fin de inactivar partículas del virus, que pueden ser transmisibles al tocar superficies infectadas. El Covid 19 puede sobrevivir en superficies (barandas de bus, manijas, mesas, cualquier superficie inerte) entre 2 horas y 9 días, por esto se deben realizar procesos efectivos de limpieza y desinfección, que disminuyan los riesgos de contaminación microbiológica y como consecuencia la alta transmisión del virus.

Es por ello que ofrecemos una solución innovadora de desinfección de alto nivel para superficies y ambientes, automatizada y de no contacto, con una alta eficacia desinfectante contra bacterias, micobacterias, virus incluyendo los coronavirus, hongos y esporas, a través del diseño de protocolos y de la tecnología HyperDRYMist.

La tecnología está conformada por el Micronebulizador 99T y una solución desinfectante que se transforma en una niebla hiper seca compuesta por millones de partículas ultrafinas micronebulización las cuales, se dispersan en todo el ambiente y superficies, incluso en los lugares más difíciles de alcanzar, asegurando una desinfección de alto nivel altamente efectiva.
Desde Ecoingenios apuntamos en este punto de la pandemia que debemos apuntar a que el número de contagios sea el menor posible.",,Other,,,
Saludtools,www.covidcolombia.com,11-50,Colombia,"Nuestra emprresa ha implementado una herramienta de risk assestment para coronavirus, que le permite a cualquier persona evaluar su riesgo frente al virus a partir de una serie de preguntas y así obtener recomendaciones específicas. La herramienta clasifica al paciente en riesgo bajo, medio o alto. A los pacientes de alto riesgo los ponemos en contacto con un profesional de salud por telemedicina. Hemos tenido en solo 3 dias mas de 11.000 pacientes, y hemos contactado mas de 400 de ellos con alto riesgo a traves de videoconsultas con personal profesional en salud, de acuerdo a los lineamientos de atención indicados por el Ministerio de Salud",,"Telemedicine, teleassistance",,,
Peiky,peiky.com/una-sola-comunidad/,51-100,Colombia,"Peiky es una comunidad de social sellers que tienen a disposición una suite digital (App + Teclado) que tiene todas las herramientas que se necesitan para vender vía chat.

Aunque la solución inicial ha sido desarrollada para vendedores que usan el chat para cerrar una venta, hemos notado que muchas comunidades ha causa de la crisis que se está viviendo en el mundo, están usando los chats (WhatsApp, Messenger, Telegram, mensajes directos, etc), como un medio de comunicación idóneo para conectarse con sus clientes, amigos, familia y en general con todo su círculo social. 

Peiky, con la idea de ayudar a conectar al mundo, le permite a quien necesite hacer comunicaciones de forma masiva a hacerlo de una manera más eficiente. Mensajes personalizados, audios, imágenes, videos y toda la información que necesiten enviar en el teclado de su celular.

Cualquiera que pertenezca a una comunidad que esté haciendo ventas, comunicaciones o una estrategia por chat, puede usar Peiky. 
",,Digital management platforms,,,
Varca Software,bit.ly/2whVEhM,1-10,Colombia,Dashboard de seguimiento del avance del Coronavirus en Colombia,,Big data and analytics,,,
IEEE Colombia,Www.ieee.org.co,250+,Colombia,"A group of IEEE Colombia volunteers want to support the COVID 19 crisis by contributing with technical skills in electronics to design and produce various artificial respirators.  This project was started a week ago and we already have the first prototypes, however we would like to have some electronic components or materials",,Respirators,,,
HOGARU,www.hogaru.com,250+,Colombia,"Tech-enabled cleaning company that provides cleaning services to homes and offices, employing directly +900 workers in 5 cities in Colombia. Huge opportunity in disinfecting homes and offices from CoronaVirus threat.",www.hogaru.com/info_coronavirus/what_are_we_doing,Prediction and prevention,,,
Cajero,www.cajero.co,11-50,Colombia,"Cajero es la solución líder de cobro para pequeños comercios y comerciantes independientes en Colombia. Utilizamos mPOS (minidátafonos) y ponemos en manos de los comerciantes la posibilidad de aceptar tarjetas débito y crédito y conocer mejor sus negocios.

Estamos facilitando la tarea de cobro con tarjetas crédito y débito a todas las tiendas de barrio que han visto una fuerte necesidad de empezar a aceptar estos medios de pago por el incremento en la demanda de vecinos, por el miedo de la gente a utilizar el efectivo como medio de pago, y por la necesidad de hacer pagos vía tarjetas de crédito que resultan de los apoyos de los bancos a los colombianos.

Se calcula que en Colombia menos de un 5% de las tiendas pequeñas reciben pagos con tarjeta, por lo que es necesario desplegar la solución a un número grandísimo de pequeños comercios.

Nuestra solución está reduciendo el uso del efectivo que se ha comentado es uno de los riesgos importantes en materia de transmisión del virus. Se calcula que en Colombia el 90% de los pagos se hacen en efectivo pero con motivo del virus nadie quiere pagar de esta manera lo que está creando un gran problema para los compradores y para los tenderos. Se está dando a los tenderos acceso a los clientes que no quieren cargar con efectivo por los riesgos de contagio, y reduciendo el contagio también a los dueños de las tiendas.

Durante los últimos 14 meses hemos crecido más de un 1000% en ingresos y más de 600% en número de usuarios, y ahora tenemos el reto de llevar nuestra solución a estos comercios que tanto la están necesitando.

Además de esto estamos lanzando un sistema de cobro remoto para todos los trabajadores independientes que se han quedado sin trabajo y necesitan cobrar a través de Internet por sus servicios en línea como clases, asesorías y servicios profesionales. Con esta solución estamos dando una posiblidad de trabajo para muchos profesionales que han perdido su actividad productiva normal.

Tenemos muchos retos por delante dado el rápido desarrollo de los hechos pero nuestro equipo está trabajando 24/7 para atender la nueva realidad a la que nos estamos enfrentando. En este momento necesitamos 180,000 USD para mantener nuestro equipo de desarrollo, operaciones y de despliegue de la solución a los pequeños comerciantes.",www.cajero.co,Digital management platforms,,,
Fundación Capital,www.fundacioncapital.org,51-100,Colombia,"Resumen:

ConHector: Conectando comunidades y promoviendo salud financiera en tiempos de crisis con el uso de inteligencia artificial. En el marco de la actual crisis mundial generada por el Covid-19 en Fundación Capital hemos priorizado el uso de todas las herramientas digitales que hemos desarrollado así como nuestras capacidades en inclusión y educación financiera y económica para proporcionar información precisa y asistencia para la población más vulnerable frente a esta crisis. Hemos alineado y redireccionado nuestra Unidad de Ciudadanía Económica como Servicio (ECaaS) y proponemos la activación de nuestro asistente virtual ConHector para continuar promoviendo la ciudadanía económica y ocuparnos del tema de salud financiera, que debido a la recesión será un tema apremiante para las miles de familias en situación de pobreza en América Latina. ConHector también brindará información oficial alrededor del tema de la pandemia, consejos prácticos de salud y psicológica e información local relevante. ConHector se conecta con la población en situación vulnerable de la base de la pirámide en zonas rurales y urbanas con la que por muchos años hemos trabajado. En una fase inicial se implementará en Colombia, cuya experiencia servirá para ser utilizado en otros países de la región, acogiendo las modificaciones lingüísticas y culturales con la ayuda de equipos que ya operan en los demás países en los que Fundación Capital tiene presencia, escalando a más de 150.000 usuarios de los países de habla hispana.",Una,Big data and analytics,,,
SKG TECNOLOGÍA SAS,skgtecnologia.com/,51-100,Colombia,"Plataforma de enrolamiento, monitoreo y control en tiempo real de cuarentena para personas con síntomas y casos confirmados de COVID-19. La solución se compone de una plataforma central que integra todos los componentes, una App móvil de seguimiento en tiempo real para el ciudadano con la funcionalidad de informe constante de síntomas, un módulo web de formularios de enrolamiento, un módulo para integrar cámaras térmicas para medición de temperatura y un módulo de analítica que muestra KPIs, indicadores de gestión y estadísticas generadas a raíz de la explotación de los datos a través de modelos analíticos que pueden adaptarse a cada ciudad o país según sus necesidades y fuentes de información específicas.",drive.google.com/file/d/1w4xRZ1Opd4R-LeCE0udrdcNthaGJ7cjW/view?usp=sharing,Quarantine monitoring and management,,,
NetMediK,www.netmedik.com,11-50,Colombia,"Historia clínica electrónica bajo estándares internacionales de informática biomédica, con módulo de video conferencia para atención de consulta externa",,"Telemedicine, teleassistance",,,
Fundación Santa Fe de Bogotá / Don Doctor,www.quenocundaelpanico.co,1-10,Colombia,"Somos una página de internet que promueve actuar responsablemente y mantener la calma en tiempos de coronavirus. Identificamos las principales preocupaciones del público y damos respuesta confiable y rápida. También difundimos recomendaciones de la Organización Mundial de la Salud y de las autoridades nacionales de salud.  
Contamos con chat 24/7 gratis, que es atendido por profesionales en medicina, enfermería, emergenciología, entre otras áreas de la salud. Identificamos casos de riesgo y conectamos al usuario con servicios de realización de pruebas COVID-19 y consultas de Telemedicina.
Todo el contenido está creado por un equipo de profesionales de salud que es liderado por una epidemióloga.",www.hablalo.com.co,Digital management platforms,,,
VIMOB S.A.S ZOMAC ,www.vimob.co,1-10,Colombia,"Estamos en capacidad de fabricar e instalar en un mes, 40 unidades modulares de U.C.I/Hospitalización con capacidad de 3 cubículos y un baño en cada módulo. Estos módulos podrían funcionar como soporte en ahora y posteriormente desmontarlas, enviarlas a otras ciudades o municipios que requieran infraestructura hospitalaria, adaptarlas para vivienda rural o darle otro uso.

Las unidades VIMOB Hospitalaria nacieron como respuesta a la coyuntura mundial que estamos viviendo y queremos ser parte del equipo que puede ayudar a solventar estos momentos difíciles, brindando apoyo rápido en la infraestructura hospitalaria de nuestro país. Esto nos puede ayudar en caso que (esperemos que no) se sature la infraestructura especializada.

Tenemos experiencia en la construcción modular y desde nuestro estudio Colectivo Creativo tenemos experiencia en el sector hospitalario.
",www.facebook.com/605217031/posts/10156777118797032/?d=n,Triage solutions and hospital management tools,,,
Ninus Design & Technology S.A.S.,ninus.co/vidabot-asistente-virtual-coronavirus/,1-10,Colombia,"Ante la presente situación que ha ocasionado el virus en la comunidad, Ninus Design & Technology S.A.S., una empresa colombiana que brinda soluciones basadas en nuevas tecnologías, ha tomado la iniciativa de donar a la comunidad colombiana Vidabot.

Vidabot es un Asistente Virtual al servicio de la comunidad, para apoyar en la lucha contra la desinformación del COVID-19 o Nuevo Coronavirus y las situaciones que se derivan de éste. Vidabot se nutrirá y entrenará con información verídica que suministren entidades, organismos oficiales o expertos, siendo capaz de dar respuesta de manera inmediata a las dudas de la comunidad con disponibilidad 24/7.

Vidabot, en su versión inicial, incluye:
● Link web con ventana de conversación directa con el Asistente virtual para atender
por este medio: https://ninus.co/vidabot/. Por el momento se encuentra alojado en este
link, pero se puede cambiar de ser necesario.
● Conexión a un perfil de Facebook para atender por medio de Facebook Messenger en
el perfil de @vidabot.oficial: http://m.me/vidabot.oficial
● Descripción del servicio en la página de Ninus Design & Technology S.A.S.:
https://ninus.co/vidabot-asistente-virtual-coronavirus/
● Capacidad de respuesta de hasta cincuenta (50) preguntas o solicitudes suministradas
en un banco de preguntas y respuestas, que nos encontramos nutriendo
constantemente.
● Brinda información en tiempo real sobre los casos confirmados, muertes confirmadas
y personas recuperadas.",Link,Behavioral change,,,
Neivor,www.neivor.com,11-50,Colombia,"Neivor es una red de vecinos que les permite conectar y cooperar entre ellos. Desde darse de alta como voluntario para entrega de medicamentos, vender productos y servicios entre ellos, disponibilizar un auto para una emergencia, buscar un profesional en caso de emergencia, mapeo de poblacion vulnerable, hacer compras compartidas, entre otros.",,Digital management platforms,,,
HELP ,solucioneshts.com/,11-50,Colombia,"Creación de un modelo analítico de datos que permita anticipar la propagación del virus, partiendo de la visualización de la data con que se cuenta actualmente.",,Big data and analytics,,,
1DOC3 ,www.1doc3.com,11-50,Colombia,"Contener y evitar visitas innecesarias a urgencias por parte de personas que no tienen seguro médico privado y/o tienen problemas de acceso a la salud en Colombia, que son el 95% de la población. Esto a través del uso de nuestra tecnología y la posibilidad de preguntar o chatear con médicos verificados.  1DOC3 cuenta con un chequeo de síntomas automático asistido por inteligencia artificial, que ayuda al usuario a identificar mejor sus síntomas y reduce en un 30% el tiempo que el médico emplea en atender cada caso,  gracias a ello logramos atender más personas.
Componentes de la solución:
Usuarios con síntomas respiratorios revisan gratuitamente sus síntomas en el chequeador automático para evaluar el riesgo de COVID-19.
Dependiendo de la respuesta y el riesgo, los usuarios pueden gratuitamente preguntarle a un médico sobre su caso y recibir una  respuesta en menos de 2 horas, o chatear con él en tiempo real.  El objetivo es validar su riesgo e indicarles qué hacer.  Es muy importante tranquilizar a esta población y evitar que asistan a un servicio físico a menos que sea estrictamente necesario.
Hacer un seguimiento via e-mail, SMS o chat con los usuarios que estan en riesgo alto o diagnosticados.
La solución también está disponible para quienes NO tienen sintomas respiratorios pero requieren una consulta médica, es importante de igual manera que estas personas no asistan a un servicio físico de salud a menos que sea estrictamente necesario.
Estas consultas deberían ser cubiertas por el regimen contributivo o subsidiado de salud, sin embargo, para ello se requiere evidencia que efectivamente este servicio reduce la asistencia a centros de salud y hospitales, salvo por los de alto riesgo, y ayuda a descongestionar el sistema, además de entregar información a quienes no tienen acceso a ella ahora y lograr atender a una población vulnerable.

Con el fin de generar evidencia, a la solución piloto podrán acceder totalmente gratis personas en Bogotá y Armenia, Quindio, que NO tienen un seguro privado de salud y que en Colombia son el 95% de la población.  Mensualmente desde estas 2 ciudades ya llegan a la solución de 1DOC3 cerca de 10 mil personas, sin embargo, no pueden llegar a chatear o preguntarle a médicos por razones económicas.
",Ya,"Telemedicine, teleassistance",,,
Reddi Agencia de Desarrollo Tecnológico y de Innovación,www.reddicolombia.com,11-50,Colombia,"En medio de la pandemia generada por el coronavirus en pro de satisfacer la necesidad de la actualidad en cuanto a ventiladores mecánicos, se está adelantando una iniciativa para desarrollar los dos siguientes dispositivos:

1.  WEJYA: Es un dispositivo tecnológico innovador con la función de ventilar a pacientes con afecciones respiratorias producidas por el COVID 19, donde sus principales características son:  fácil de replicar, de bajo costo, con alarmas auditivas y sonoras que brindan seguridad al paciente en caso de falla o en caso que el paciente sobrepase los límites de las diferentes variables configurada por el médico. WEJYA cuenta con una interfaz gráfica en la cual el médico por medio de un software monitoriza al paciente y genera una trazablidad. El sistema da la posibilidad al médico de incluir los datos del paciente como la edad, género, nombre, cédula y condiciones fisiológicas, estos datos son enviados y almacenados en la nube donde luego se pueden consultar.


2. Ventilador mecánico con un brazo robótico que acciona o presiona el reservorio o ambu para generar flujo de aire, o ventilación hacia el paciente, el reservorio está hecho con bolsas de solución salina ya descartadas, estas no producen ningún residuo tóxico que pueda afectar la vía aérea ni la salud del paciente, por lo que este dispositivo podrá utilizar como materia prima el reciclaje de algunos insumos y elementos abundantes en las clínicas y hospitales que además son descartables para darles nuevo uso en el mismo paciente y lo más importante es que ofrece una potente y eficaz alternativa para para reemplazar el ambu comercial, en caso de que haya escasez del mismo, en este dispositivo cualquier instrumento se puede convertir en un ambu, con la misma eficacia del tradicional.",www.linkedin.com/feed/update/urn:li:activity:6647887008226172928/,Respirators,,,
SOLE COLOMBIA,www.solecolombia.org,1-10,Colombia,"SOLE, ambientes de aprendizaje autoorganizado por sus siglas.en ingles, fue inventado por el ganador del Premio TED, Sugata Mitra. Es una solución de educacion en donde grupos de personas (de cualquier edad) se reunen ( fisica o virtualmente) a resolver grandes preguntas usando el intenet. No hay docentes. La gente aprende a aprender. Es el futuro del aprendizaje, y por esto es muy flexible y adaptable a las condiciones que COVID impone. Para hacerlo remoto (cada quien desde su hogar) tenemos una app para la comunidad SOLE mundial: startsole.org. Esta permite hacer SOLE de manera virtual ademas de entregar herramientas metodológicas para desarrollar y/o facilitar el aprendizaje autoorganizado. Tambien tenemos una plataforma llamada el Parque en la Nube (http://www.solecolombia.org/parque-en-la-nube/) donde además hay espacios para aprender, conversar, compartir y conectar con otros alrededor de SOLE.",www.startsole.org,Remote education,,,
3D Impressio ,www.pivvot.in/post/grupo-cascanueces-voluntarios-creando-ventiladores-mec%C3%A1nicos-para-pacientes-de-covid-19,1-10,Colombia,"Dada la escasez de respiradores médicos en la costa norte del país hemos realizado una hipótesis de fácil producción y ensamble de un equipo de respirador médico, que se integra con impresión 3D y cumple las oportunas necesidades para los afectados por el COVID-19 en Colombia ",,Respirators,,,
Fluyt ,www.masuno.app,1-10,Colombia,"Hace una semana lanzamos www.masuno.app, lo que esperamos será la base de conocimiento colaborativo sobre covid-19 más amigable, versátil y completa de habla hispana. Trabajamos sobre la plataforma Zendesk® con una licencia donada a Fluyt para este fin. Inicialmente se lanzó en Colombia y se está operando 100% con voluntarios. 

Iniciamos con una donación de 20 licencias de software para masuno.app del programa Tech for Good de la compañía Zendesk (www.zendesk.com) el 22 de marzo de 2020 y desde ese día empezamos a trabajar con los voluntarios y nuestro equipo propio. 

Hay mucha información dispersa y los ciudadanos necesitan informarse oportunamente con fuentes confiables que nos permitan a todos tomar las mejores decisiones. También es necesario indexar la gran cantidad de información e iniciativas que ya están disponibles en tiempo real para que se puedan aprovechar. 

Adicionalmente, tenemos el diseño UX de la app que (de poderse desarrollar) podría conectarse a la base de conocimiento (que ya está al aire) para atender solicitudes en tiempo real y contribuir a descongestionar las líneas de emergencias.

",www.fluytdesign.com,Digital management platforms,,,
IBSER (International Bureau of Social and Economic Research),www.ibser.org/,1-10,Colombia,"Se trata de una plataforma virtual con diferentes herramientas para el aprendizaje de habilidades específicas que pueden requerir personas de nuestro territorio para superar la coyuntura por el virus, tales como: tutoriales para docentes que no conozcan el cómo crear sus contenidos educativos de manera virtual, sobre marketing digital, tiendas digitales y pagos en línea para microempresarios o emprendedores que basan su modelo de negocio en la venta presencial, teletrabajo para las organizaciones y fabricación de elementos de protección como tapabocas y gel antibacterial para cualquier persona en general.",www.colombiaeduca.co/,Remote education,,,
hackU,hackU.co,1-10,Colombia,Educamos a no nativos digitales a través de WhatsApp con recursos educativos abiertos.,hackucsp-my.sharepoint.com/:b:/g/personal/administrativo_hacku_co/ETHPCZtP4X1BuSBG8CYeOUABSECoQPXmDFkht8PaMOSKtA?e=O9x0wy,Remote education,,,
Feelenials,www.feelenials.com,1-10,Colombia,"GOODFEELIS- Feelenials (link to www.feelenials.com), an emotion AI platform, has created a social outreach program to address the Global Mental Health implications caused by the Coronavirus and help fight the crisis together.GOODFEELIS is an app intended to be used by citizens, healthcare, companies, governments, etc in order to make better decisions for communities, especially now in these times of isolation, uncertainty and anxiety. Amongst other things people are worried about health, jobs, school, money, food and quarantine. Our campaign is to gather Emotional Data so that citizens, governments, caregivers, psychologists, psychiatrists can address the mental health aspects of the pandemic. Users anonymously record emotions, and then appear on a Global Emotions Map. Everyone can zoom into their city or town and see information by demographics. ",www.weforum.org/agenda/2020/03/covid19-coronavirus-mental-health-expert-insights/,Big data and analytics,,,
Hoytrabajas.com SAS,hoytrabajas.com/,11-50,Colombia,"HoyTrabajas.com es una plataforma de empleo, que utiliza Inteligencia artificial para conectar personas que están buscando empleo con ofertas de trabajo que mejor se ajusten a sus habilidades y aspiraciones salariales. 
En estos momentos de crisis, estamos ejecutando un plan de acción para que las empresas y nuestros clientes B2B contraten personal para trabajos remotos e industrias que requieran candidatos con urgencia. De esta manera, por medio de la plataforma ponemos a disposición nuestros servicios de publicación de ofertas de empleo de manera GRATUITA. 

Desde que inició la contingencia por el COVID-19, a través de Hoytrabajas.com hemos colocado más de 120 personas en cargos: analistas, desarrollo de software, servicio al cliente por video llamada, operarios de Call Center, operarios para cadenas de abastecimiento de alimentos y medicamentos, entre otros.
Estamos 100% comprometidos con nuestros candidatos, por eso trabajando arduamente buscando oportunidades especialmente en las siguientes industrias: salud, suministro de alimento, telecomunicaciones, servicio al cliente y transporte domiciliario. Por ejemplo, con Rappi a través de la bolsa de empleo de Colsubsidio estamos gestionado más de 50 “Shopers“ por semana. Ver https://hoytrabajas.com/offers/37952
",youtu.be/6FArT4h9-lM,Remote work,,,
Endevor ingenieria ,movigo.co/,1-10,Colombia,Mobiliario medico especializado para monitoreo y ventilacion.,WWW.MOVIGO.CO,Other,,,
ConexaLab,www.conexalab.com/i-idrms,1-10,Colombia,"Plataforma para que las la instituciones que deben atender la situación de riesgo de enfermases contagiosas y en especial quienes las dirigen tengan la información apropiada para la toma de decisiones, así mismo es indispensable establecer comunicaciones y procesos virtuales entre los posibles contagiados, los pacientes y el personal medico reduciendo la probabilidad de contagio. ",,Digital management platforms,,,
Macondolab Unisimon,www.macondolab.com,11-50,Colombia,"Desarrollar un modelo de predicción a través de una red neuronal con imágenes de radiografía de tórax de pacientes normales y pacientes diagnosticados con COVID19, que permita dar alertas con la entrada de una radiografía de tórax... Ya hicimos algunas pruebas y funciona a un 88% de accuracy pero estamos en la recolección de mas imágenes para generar un modelo mas robusto.",,Prediction and prevention,,,
Stereotheque,covid19.stereotheque.com/,1-10,Colombia,"CovidAid es una aplicación construida por Stereotheque en la cual se puede buscar y encontrar recursos financieros y de emergencia para músicos, artistas y creativos a nivel global. Stereotheque es un marketplace que conecta más de 5000 creativos con profesionales y oportunidades de trabajo en música, medios y entretenimiento.",www.stereotheque.com/covidaid.html,Other,,,
BluSense Diagnostics ApS,blusense-diagnostics.com/,51-100,Denmark,"Yo soy asesora especializada de BluSense Diagnostics, empresa danesa que desarrolla una nueva tecnología que permite el diagnóstico preciso de arbovirus (dengue antigeno y anticuerpos, y zika anticuerpos) con rendimientos comparables a pruebas de alto rendimiento de laboratorio especializado (ELISA) pero utilizando una gota de sangre y combinando la cuantificación de biomarcadores con la portabilidad, la asequibilidad y la facilidad de uso (prueba rapida, de bajo costo, requiere minimo entrenamiento). 
https://vimeo.com/341550307

Mi rol en BluSense es crear alianzas científicas con líderes de opinion claves en el tema de Arbovirus en la región y actualmente estamos desarrollando estudios de validacion de productos de diagnostico de dengue.

La prueba de diagnostico rapido de BluSense - serologica (de IgG / IgM) - para COVID-19 está en formato RUO (solo para investigacion), BluSense está cooperando con pocos institutos para la evaluación clínica externa necesaria para adjudicar el sello CE (IVD reactivo de diagnostico).
BluSense espera que el producto esté completamente certificado a finales de mayo.
Se requieren estudios de validacion en campo.",vimeo.com/341550307,"Medical testing, diagnostic devices and digital diagnostic solutions",,,
Kudert,www.kudert.com,11-50,Ecuador,Evaluación de talento,,Remote work,,,
Formación Continua Poliestudios ,Www.poliestudios.org,11-50,Ecuador,"Edtech dedicada a la formación online en las áreas de educación,  psicologia,  tecnología  y comunicación para el desarrollo de competencias profesionales. ",,Remote education,,,
